Cat	SCat	IdProd	CodVen	Titolo	Descrizione	Peso	Prezzo	Listino	Iva	Marca	Disponibilita	DisponibilitaFutura	PrezzoPromo	DataInizioPromo	DataFinePromo	Ean	LinkImmagine	ProductID	NoDrop
Videogiochi e Toys	Giochi	PS4SWACT0067	88388IT	PS4 Crash Team Racing Nitro-Fueled	<ul>    <li>Crash &egrave; tornato dietro al volante! Spingi sull'acceleratore con Crash Team Racing Nitro-Fueled. Rivivi l'esperienza originale di CTR completamente rimasterizzata e goditi i fantastici contenuti aggiuntivi, in un unico pacchetto che ti mander&agrave; su di giri</li>    <li>Riscalda i motori con modalit&agrave;, personaggi, piste, potenziamenti, armi e comandi originali</li>    <li>Conquista la gloria con kart e piste non presenti nel gioco originale</li>    <li>Gareggia con i tuoi amici e scala le classifiche online</li>    <li>La competizione &egrave; spietata come non mai in Crash Team Racing Nitro-Fueled: il CTR che ami... come non l'hai mai guidato prima</li></ul>	0,08	15,5	32,7	22	Activision Blizzard	38					5030917269769	https://www.erregame.com/P/D/{B79155DE-EC9D-413B-BD36-185833161EAF}/PS4SWACT0067.jpg	27595	0	
Videogiochi e Toys	Giochi	PS4SWACT0086	88560IT	PS4 Crash Team Rumble Deluxe Edition		0,08	7,9	24,51	22	Activision Blizzard	50					5030917299247	https://www.erregame.com/P/D/{576688C8-6C89-4800-811B-F9657A9AC12D}/PS4SWACT0086.jpg	44686	0	
Videogiochi e Toys	Giochi	PS4SWACT0061	88237IT	PS4 Spyro Reignited Trilogy	<ul>    <li>Spyro &egrave; tornato! Si &egrave; rifatto il look ed &egrave; pronto a infiammare i cattivi in Spyro Reignited Trilogy</li>    <li>La situazione si fa... scottante! Vulcanico come sempre, irriverente come non mai e rimasterizzato nei minimi dettagli: Spyro &egrave; tornato ed &egrave; pronto a scaldare gli animi</li>    <li>Dai fuoco alle polveri e goditi i tre giochi originali Spyro the Dragon, Spyro 2: Ripto's Rage! e Spyro: Year of the Dragon</li>    <li>Esplora regni sconfinati ricreati in alta definizione, fai amicizia con personaggi indimenticabili e ricorda: se il regno &egrave; in pericolo, c'&egrave; solo un drago che pu&ograve; salvarlo</li></ul>	0,08	15,5	32,7	22	Activision Blizzard	48					5030917242212	https://www.erregame.com/P/D/{706ADAA4-7B0F-4498-9DE2-6E174D76D98D}/PS4SWACT0061.jpg	25866	0	
Videogiochi e Toys	Giochi	PS5SWACT0010	EP2-43778	PS5 Call of Duty Black Ops 7		0,09	39,9	65,56	22	Activision Blizzard	50					196388607808	https://www.erregame.com/P/D/{01B45D39-ABBC-48A7-A449-5DA14DF5216C}/PS5SWACT0010.jpg	50865	0	
Videogiochi e Toys	Giochi	SWISWACT0005	88398IT	Switch Crash Team Racing Nitro-Fueled	<ul>    <li>Crash &egrave; tornato dietro al volante! Spingi sull'acceleratore con Crash Team Racing Nitro-Fueled. Rivivi l'esperienza originale di CTR completamente rimasterizzata e goditi i fantastici contenuti aggiuntivi, in un unico pacchetto che ti mander&agrave; su di giri</li>    <li>Riscalda i motori con modalit&agrave;, personaggi, piste, potenziamenti, armi e comandi originali</li>    <li>Conquista la gloria con kart e piste non presenti nel gioco originale</li>    <li>Gareggia con i tuoi amici e scala le classifiche online</li>    <li>La competizione &egrave; spietata come non mai in Crash Team Racing Nitro-Fueled: il CTR che ami... come non l'hai mai guidato prima</li></ul>	0,05	15,5	24,51	22	Activision Blizzard	50					5030917269844	https://www.erregame.com/P/D/{F33CE87A-D284-4CBD-BE48-21554DEB18BE}/SWISWACT0005.jpg	28411	0	
Videogiochi e Toys	Giochi	SWISWACT0006	88405IT	Switch Spyro Reignited Trilogy	<ul>    <li>Spyro &egrave; tornato! Si &egrave; rifatto il look ed &egrave; pronto a infiammare i cattivi in Spyro Reignited Trilogy</li>    <li>La situazione si fa... scottante! Vulcanico come sempre, irriverente come non mai e rimasterizzato nei minimi dettagli: Spyro &egrave; tornato ed &egrave; pronto a scaldare gli animi</li>    <li>Dai fuoco alle polveri e goditi i tre giochi originali Spyro the Dragon, Spyro 2: Ripto's Rage! e Spyro: Year of the Dragon</li>    <li>Esplora regni sconfinati ricreati in alta definizione, fai amicizia con personaggi indimenticabili e ricorda: se il regno &egrave; in pericolo, c'&egrave; solo un drago che pu&ograve; salvarlo</li></ul>	0,05	15,5	32,7	22	Activision Blizzard	11					5030917284588	https://www.erregame.com/P/D/{C9D8FE6A-51A3-4E62-82F7-8A7B5EFED2A9}/SWISWACT0006.jpg	29495	0	
Telefonia	Cordless	TCRTEALC0011	ATL1426700	Telefono Cordless Alcatel E160 Blue		0,45	13,9	16,38	22	Alcatel	23					3700601426700	https://www.erregame.com/P/D/D23CB4961B23410451000000000000000000000000000000.bmp/TCRTEALC0011.jpg	48868	0	
Telefonia	Cordless	TCRTEALC0009	ATL1426724	Telefono Cordless Alcatel E160 Duo Black		0,45	22,9	28,68	22	Alcatel	50					3700601426724	https://www.erregame.com/P/D/D23CB4961B23410419000000000000000000000000000000.bmp/TCRTEALC0009.jpg	48865	0	
Telefonia	Cordless	TCRTEALC0012	ATL1426717	Telefono Cordless Alcatel E160 Red		0,45	13,9	16,38	22	Alcatel	30					3700601426717	https://www.erregame.com/P/D/D23CB4961B23410452000000000000000000000000000000.bmp/TCRTEALC0012.jpg	48869	0	
Telefonia	Cordless	TCRTEALC0013	ATL1426694	Telefono Cordless Alcatel E160 White		0,45	13,9	16,38	22	Alcatel	50					3700601426694	https://www.erregame.com/P/D/D23CB4961B23410453000000000000000000000000000000.bmp/TCRTEALC0013.jpg	48870	0	
